Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
MMLU,abstract_algebra,The cyclic subgroup of Z_24 generated by 18 has order?,4.,4.,8.; 12.; 6.
MMLU,abstract_algebra,Find the order of the factor group Z_6/<3>.,3.,3.,2.; 6.; 12.
MMLU,abstract_algebra,Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,"True, True.","True, True.","False, False.; True, False.; False, True."
MMLU,abstract_algebra,Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>)?,4.,4.,2.; 3.; 12.
MMLU,abstract_algebra,Find the maximum possible order for some element of Z_4 x Z_6.,12.,12.,4.; 6.; 24.
MMLU,abstract_algebra,Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,"False, True.","False, True.","True, True.; False, False.; True, False."
MMLU,abstract_algebra,"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.","False, False.","False, False.","True, True.; True, False.; False, True."
MMLU,abstract_algebra,"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.","False, True.","False, True.","True, True.; False, False.; True, False."
MMLU,abstract_algebra,Find the maximum possible order for an element of S_n for n = 7.,12.,12.,6.; 30.; 105.
MMLU,abstract_algebra,Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,"True, False.","True, False.","True, True.; False, False.; False, True."
MMLU,abstract_algebra,"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).","False, False.","False, False.","True, True.; True, False.; False, True."
MMLU,anatomy,Which of the following terms describes the body's ability to maintain its normal state?,Homeostasis.,Homeostasis.,Anabolism.; Catabolism.; Tolerance.
MMLU,anatomy,Which of the following structures travel through the substance of the parotid gland?,The maxillary artery and retromandibular vein.,The maxillary artery and retromandibular vein.,"The maxillary artery.; The maxillary artery, retromandibular vein and facial artery.; The maxillary artery, retromandibular vein, facial artery and buccal branch of the mandibular nerve."
MMLU,anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the?,lower lobe of the lung.,lower lobe of the lung.,upper lobe of the lung.; middle lobe of the lung.; costo-diaphragmatic recess.
MMLU,anatomy,The maxillary sinus?,is innervated by branches of the maxillary division of the trigeminal nerve.,is innervated by branches of the maxillary division of the trigeminal nerve.,is lined by stratified squamous epithelium.; drains into the superior meatus of the nasal cavities.; Receives its blood supply from the first part of the maxillary artery.
MMLU,anatomy,Which of the following is flexible connective tissue that is attached to bones at the joints?,Cartilage.,Cartilage.,Adipose.; Epithelial.; Muscle.
MMLU,anatomy,Tonsillar tissue is commonly found?,between the palatoglossal and palatopharyngeal folds.,between the palatoglossal and palatopharyngeal folds.,on the posterior wall of the oropharynx.; under the mucosa of the ventral surface of the tongue.; at all three sites.
